Subtracking,Product Name,Merchant Sale Amount,Cash back,AN,Advertiser Name, Date ,transaction_id
546a0f1e18e32,Nine West &quot;Neo Geo&quot; Medium Satchel,1736.972727,191.067,flex_offers,Nordstrom,11/17/2014,4696634
546a0f1e18e32,Nine West &quot;Neo Geo&quot; Medium Satchel,2824.063636,310.647,flex_offers,FTD,11/17/2014,4908042
546a0f1e18e32,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,3911.154545,430.227,link_share,FTD,11/17/2014,4759888
546a106214ae4,Nine West &quot;Neo Geo&quot; Medium Satchel,754.73,75.473,flex_offers,Nordstrom,11/17/2014,4704710
546a106214ae4,Nine West &quot;Neo Geo&quot; Medium Satchel,1950.53,195.053,flex_offers,FTD,11/17/2014,4809086
546a106214ae4,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3146.33,314.633,link_share,FTD,11/17/2014,4667316
546a106214ae4,Nine West &quot;Neo Geo&quot; Medium Satchel,4342.13,434.213,link_share,Foot Locker,11/17/2014,4960768
546a1abf10103,Nine West &quot;Neo Geo&quot; Medium Satchel,1589.18,79.459,flex_offers,Nordstrom,11/17/2014,4512802
546a1abf10103,Nine West &quot;Neo Geo&quot; Medium Satchel,3980.78,199.039,flex_offers,FTD,11/17/2014,4569822
546a1abf10103,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,6372.38,318.619,link_share,FTD,11/17/2014,4528784
546a1abf10103,Foot Locker Default Link,8763.98,438.199,link_share,Foot Locker,11/17/2014,4605331
546a2007829db,Nine West &quot;Neo Geo&quot; Medium Satchel,834.45,83.445,flex_offers,FTD,11/17/2014,4959815
546a2007829db,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2030.25,203.025,link_share,FTD,11/17/2014,4897378
546a2007829db,Nine West &quot;Neo Geo&quot; Medium Satchel,3226.05,322.605,link_share,Foot Locker,11/17/2014,4647723
546a2007829db,WhiteHouseBlackMarket.com,4421.85,442.185,link_share,Foot Locker,11/17/2014,4559342
546a239a148a9,Nine West &quot;Neo Geo&quot; Medium Satchel,437.155,87.431,flex_offers,FTD,11/17/2014,4683877
546a239a148a9,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,1035.055,207.011,link_share,FTD,11/17/2014,4581194
546a239a148a9,Foot Locker Default Link,1632.955,326.591,link_share,Foot Locker,11/17/2014,4598697
546a239a148a9,Chico's.com,2230.855,446.171,link_share,Foot Locker,11/17/2014,4806835
546a241b8e40f,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",831.0636364,91.417,link_share,FTD,11/17/2014,4876984
546a241b8e40f,Nine West &quot;Neo Geo&quot; Medium Satchel,1918.154545,210.997,link_share,Foot Locker,11/17/2014,4509466
546a241b8e40f,WhiteHouseBlackMarket.com,3005.245455,330.577,link_share,Foot Locker,11/17/2014,4942884
546a241b8e40f,Shop AnnTaylor.com,4092.336364,450.157,link_share,Foot Locker,11/17/2014,4913434
546a2ce46a370,The FTD� University of Michigan™ Wolverines™ Rose Bouquet - VASE INCLUDED,954.03,95.403,link_share,FTD,11/17/2014,4865206
546a2ce46a370,Foot Locker Default Link,2149.83,214.983,link_share,Foot Locker,11/17/2014,4606067
546a2ce46a370,Chico's.com,3345.63,334.563,link_share,Foot Locker,11/17/2014,4606821
546a2ce46a370,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",4541.43,454.143,Amazon,Foot Locker,11/17/2014,4646861
546a2e5366f36,Nine West &quot;Neo Geo&quot; Medium Satchel,1987.78,99.389,link_share,Foot Locker,11/17/2014,4606533
546a2e5366f36,WhiteHouseBlackMarket.com,4379.38,218.969,link_share,Foot Locker,11/17/2014,4534293
546a2e5366f36,Shop AnnTaylor.com,6770.98,338.549,link_share,Foot Locker,11/17/2014,4989306
546a2e5366f36,Shop StarbucksStore.com!,9162.58,458.129,Amazon,Nike,11/17/2014,4535480
546a30e49dfdc,Foot Locker Default Link,1033.75,103.375,link_share,Foot Locker,11/17/2014,4571179
546a30e49dfdc,Chico's.com,2229.55,222.955,link_share,Foot Locker,11/17/2014,4792850
546a30e49dfdc,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3425.35,342.535,Amazon,Foot Locker,11/17/2014,4591132
546a30e49dfdc,Shop StarbucksStore.com!,4621.15,462.115,Amazon,Nike,11/17/2014,4602560
546a315f38ca2,WhiteHouseBlackMarket.com,536.805,107.361,link_share,Foot Locker,11/17/2014,4708132
546a315f38ca2,Shop AnnTaylor.com,1134.705,226.941,link_share,Foot Locker,11/17/2014,4685375
546a315f38ca2,Shop StarbucksStore.com!,1732.605,346.521,Amazon,Nike,11/17/2014,4778668
546a315f38ca2,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2330.505,466.101,commission_junction,Nike,11/17/2014,4900740
546a31f1a9fb1,Chico's.com,1012.245455,111.347,link_share,Foot Locker,11/17/2014,4693243
546a31f1a9fb1,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2099.336364,230.927,Amazon,Foot Locker,11/17/2014,4685797
546a31f1a9fb1,Shop StarbucksStore.com!,3186.427273,350.507,Amazon,Nike,11/17/2014,4744909
546a31f1a9fb1,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",4273.518182,470.087,commission_junction,Nike,11/17/2014,4926546
546a323a0f0a3,Shop AnnTaylor.com,1153.33,115.333,link_share,Foot Locker,11/17/2014,4569152
546a323a0f0a3,Shop StarbucksStore.com!,2349.13,234.913,Amazon,Nike,11/17/2014,4538910
546a323a0f0a3,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3544.93,354.493,commission_junction,Nike,11/17/2014,4577643
546a356576ddf,Shop StarbucksStore.com!,1233.05,123.305,Amazon,Nike,11/17/2014,4847358
546a356576ddf,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2428.85,242.885,commission_junction,Nike,11/17/2014,4586641
546a356576ddf,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3624.65,362.465,flex_offers,Go Daddy,11/17/2014,4788408
546a3630e4312,Shop StarbucksStore.com!,636.455,127.291,Amazon,Nike,11/17/2014,4889767
546a3630e4312,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",1234.355,246.871,commission_junction,Nike,11/17/2014,4583533
546a3630e4312,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",1832.255,366.451,flex_offers,Go Daddy,11/17/2014,4623925
546a3765b0145,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",1193.427273,131.277,commission_junction,Nike,11/17/2014,4696169
546a3765b0145,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2280.518182,250.857,flex_offers,Go Daddy,11/17/2014,4610925
546a3765b0145,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",3367.609091,370.437,flex_offers,Go Daddy,11/17/2014,4735035
546a38dc0c532,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",1352.63,135.263,commission_junction,Nike,11/17/2014,4987588
546a38dc0c532,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2548.43,254.843,flex_offers,Go Daddy,11/17/2014,4991767
546a38dc0c532,NORDSTROM,3744.23,374.423,flex_offers,Go Daddy,11/17/2014,4501026
546a3968e4228,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",2784.98,139.249,flex_offers,Go Daddy,11/17/2014,4635552
546a3968e4228,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",5176.58,258.829,flex_offers,Go Daddy,11/17/2014,4873497
546a3968e4228,NORDSTROM,7568.18,378.409,flex_offers,Go Daddy,11/17/2014,4664192
546a39e57ad94,"New Domains now available from GoDaddy! Get your .GURU, .MENU, .LUXURY and more!",1432.35,143.235,flex_offers,Go Daddy,11/17/2014,4703766
546a39e57ad94,NORDSTROM,2628.15,262.815,flex_offers,Go Daddy,11/17/2014,4749367
546a39e57ad94,NORDSTROM,3823.95,382.395,flex_offers,Nordstrom,11/17/2014,4774042
